ds,yhat,yhat_lower,yhat_upper
2024-12-31,231.9628100816151,222.07642117062912,241.52977726077768
2025-01-01,231.77536465565507,221.49172203626202,241.40834533026054
2025-01-02,231.5915304196875,221.45460025318658,241.1037825998933
2025-01-03,231.47232090336783,222.30248996021726,241.2542239777649
2025-01-04,229.5683987102889,219.85487559849597,238.55443358747277
2025-01-05,229.45851924384505,219.75857224082694,238.3933423682652
2025-01-06,231.30219196218758,221.30722021787204,242.21958862168347
